h1,h2,h3,h4
12.4,12.7,1.8,1.4
12.40492766,12.70061798,1.79288086,1.400301075
12.40947845,12.70123915,1.786060012,1.400592113
12.41367034,12.70186315,1.779525513,1.400873448
12.41752056,12.70248961,1.773265855,1.401145406
12.42104566,12.70311821,1.767269952,1.4014083
12.42426151,12.70374862,1.761527128,1.401662433
12.42718332,12.70438051,1.756027103,1.401908097
12.42982568,12.70501359,1.750759983,1.402145575
12.43220256,12.70564758,1.745716248,1.402375142
12.43432735,12.7062822,1.740886738,1.402597061
12.43621288,12.70691719,1.736262646,1.402811587
12.43787144,12.7075523,1.731835501,1.403018968
12.43931479,12.70818729,1.727597161,1.403219441
12.44055417,12.70882192,1.723539799,1.403413238
12.44160036,12.70945599,1.719655897,1.403600582
12.44246366,12.71008928,1.71593823,1.403781686
12.44315391,12.71072159,1.712379859,1.403956761
12.44368055,12.71135274,1.70897412,1.404126006
12.44405256,12.71198253,1.705714614,1.404289617
12.44427857,12.7126108,1.7025952,1.404447781
12.44436678,12.71323739,1.699609981,1.404600679
12.44432504,12.71386213,1.6967533,1.404748488
12.44416087,12.71448488,1.694019728,1.404891378
12.4438814,12.7151055,1.691404057,1.405029511
12.44349348,12.71572385,1.68890129,1.405163047
12.44300363,12.7163398,1.686506636,1.405292138
12.44241805,12.71695324,1.6842155,1.405416934
12.44174269,12.71756404,1.682023475,1.405537577
12.44098319,12.71817209,1.679926337,1.405654205
12.44014494,12.71877731,1.677920038,1.405766953
12.43923309,12.71937958,1.676000694,1.405875949
12.43825252,12.71997881,1.674164586,1.405981318
12.43720789,12.72057492,1.672408149,1.406083182
12.43610364,12.72116783,1.670727967,1.406181657
12.434944,12.72175745,1.669120767,1.406276855
12.43373298,12.72234372,1.667583413,1.406368887
12.4324744,12.72292657,1.666112901,1.406457857
12.4311719,12.72350593,1.664706353,1.406543868
12.42982894,12.72408174,1.663361015,1.406627017
12.4284488,12.72465395,1.662074245,1.406707401
12.4270346,12.72522251,1.660843518,1.406785111
12.42558932,12.72578737,1.659666411,1.406860236
12.42411575,12.72634847,1.658540609,1.406932863
12.42261657,12.72690579,1.65746389,1.407003074
12.42109433,12.72745928,1.656434132,1.40707095
12.41955141,12.7280089,1.655449301,1.407136569
12.41799009,12.72855463,1.654507448,1.407200005
12.41641255,12.72909644,1.653606711,1.407261332
12.41482081,12.72963429,1.652745306,1.407320619
12.41321682,12.73016817,1.651921525,1.407377935
12.4116024,12.73069805,1.651133735,1.407433344
12.4099793,12.73122392,1.65038037,1.407486911
12.40834913,12.73174575,1.649659934,1.407538697
12.40671346,12.73226353,1.648970996,1.407588761
12.40507374,12.73277726,1.648312184,1.40763716
12.40343135,12.73328691,1.647682188,1.40768395
12.40178759,12.73379249,1.647079751,1.407729184
12.40014368,12.73429398,1.646503673,1.407772914
12.39850078,12.73479138,1.645952806,1.40781519
12.39685996,12.73528469,1.645426051,1.407856061
12.39522226,12.7357739,1.644922355,1.407895573
12.39358863,12.73625902,1.644440713,1.40793377
12.39195996,12.73674005,1.643980162,1.407970698
12.39033711,12.73721698,1.643539782,1.408006399
12.38872085,12.73768983,1.643118691,1.408040912
12.38711194,12.73815861,1.642716048,1.408074278
12.38551106,12.73862331,1.642331046,1.408106534
12.38391885,12.73908394,1.641962915,1.408137719
12.38233591,12.73954052,1.641610917,1.408167866
12.38076281,12.73999306,1.641274346,1.408197011
12.37920007,12.74044157,1.640952529,1.408225188
12.37764816,12.74088605,1.640644819,1.408252427
12.37610753,12.74132653,1.640350601,1.408278762
12.37457859,12.74176301,1.640069282,1.40830422
12.37306172,12.74219552,1.639800299,1.408328833
12.37155728,12.74262406,1.639543113,1.408352627
12.37006557,12.74304866,1.639297205,1.40837563
12.3685869,12.74346934,1.639062084,1.408397869
12.36712153,12.7438861,1.638837275,1.408419368
12.36566969,12.74429897,1.638622329,1.408440153
12.36423161,12.74470797,1.638416812,1.408460246
12.36280748,12.74511312,1.638220311,1.408479672
12.36139748,12.74551443,1.638032432,1.408498452
12.36000175,12.74591194,1.637852797,1.408516608
12.35862044,12.74630566,1.637681044,1.40853416
12.35725365,12.74669561,1.637516829,1.408551129
12.35590149,12.74708182,1.63735982,1.408567534
12.35456405,12.7474643,1.637209701,1.408583394
12.35324138,12.74784308,1.637066171,1.408598726
12.35193355,12.74821819,1.636928941,1.408613549
12.35064059,12.74858965,1.636797734,1.408627879
12.34936253,12.74895748,1.636672287,1.408641732
12.34809939,12.74932171,1.636552346,1.408655126
12.34685117,12.74968235,1.636437671,1.408668074
12.34561786,12.75003944,1.63632803,1.408680592
12.34439946,12.75039301,1.636223202,1.408692693
12.34319592,12.75074307,1.636122976,1.408704393
12.34200723,12.75108965,1.636027151,1.408715703
12.34083332,12.75143278,1.635935533,1.408726638
12.33967416,12.75177248,1.635847937,1.408737209
12.33852969,12.75210878,1.635764188,1.408747429
12.33739983,12.7524417,1.635684116,1.408757309
12.33628453,12.75277127,1.63560756,1.40876686
12.33518369,12.75309753,1.635534366,1.408776095
12.33409725,12.75342048,1.635464385,1.408785022
12.3330251,12.75374016,1.635397478,1.408793653
12.33196716,12.7540566,1.635333509,1.408801996
12.33092332,12.75436982,1.635272349,1.408810063
12.3298935,12.75467985,1.635213876,1.408817861
12.32887758,12.75498671,1.63515797,1.4088254
12.32787545,12.75529044,1.635104519,1.408832689
12.326887,12.75559105,1.635053416,1.408839735
12.32591211,12.75588857,1.635004557,1.408846547
12.32495068,12.75618304,1.634957844,1.408853133
12.32400257,12.75647447,1.634913182,1.4088595
12.32306767,12.75676289,1.634870483,1.408865655
12.32214585,12.75704833,1.634829658,1.408871606
12.32123698,12.75733082,1.634790627,1.408877359
12.32034094,12.75761038,1.63475331,1.40888292
12.3194576,12.75788704,1.634717632,1.408888297
12.31858682,12.75816082,1.634683522,1.408893495
12.31772848,12.75843174,1.634650909,1.408898521
12.31688244,12.75869985,1.634619729,1.408903379
12.31604856,12.75896515,1.634589919,1.408908076
12.31522672,12.75922768,1.634561418,1.408912616
12.31441679,12.75948746,1.634534168,1.408917006
12.31361861,12.75974452,1.634508116,1.40892125
12.31283207,12.75999888,1.634483209,1.408925353
12.31205702,12.76025057,1.634459395,1.40892932
12.31129332,12.7604996,1.634436627,1.408933154
12.31054085,12.76074602,1.63441486,1.408936862
12.30979947,12.76098984,1.634394049,1.408940446
12.30906904,12.76123108,1.634374151,1.408943911
12.30834943,12.76146978,1.634355128,1.40894726
12.3076405,12.76170595,1.634336941,1.408950499
12.30694212,12.76193962,1.634319553,1.40895363
12.30625416,12.76217082,1.634302928,1.408956656
12.30557648,12.76239956,1.634287034,1.408959583
12.30490895,12.76262587,1.634271838,1.408962412
12.30425144,12.76284978,1.634257309,1.408965146
12.30360382,12.76307131,1.634243419,1.40896779
12.30296596,12.76329047,1.634230139,1.408970347
12.30233772,12.76350731,1.634217442,1.408972818
12.30171899,12.76372183,1.634205303,1.408975207
12.30110963,12.76393406,1.634193698,1.408977516
12.30050951,12.76414402,1.634182602,1.408979749
12.29991852,12.76435174,1.634171993,1.408981908
12.29933653,12.76455724,1.634161851,1.408983995
12.29876341,12.76476054,1.634152154,1.408986012
12.29819904,12.76496166,1.634142884,1.408987963
12.2976433,12.76516063,1.63413402,1.408989849
12.29709608,12.76535746,1.634125546,1.408991672
12.29655724,12.76555218,1.634117444,1.408993434
12.29602668,12.7657448,1.634109698,1.408995138
12.29550427,12.76593536,1.634102293,1.408996785
12.29498991,12.76612387,1.634095212,1.408998378
12.29448347,12.76631035,1.634088443,1.408999917
12.29398485,12.76649482,1.634081971,1.409001406
12.29349392,12.7666773,1.634075784,1.409002845
12.29301059,12.76685782,1.634069868,1.409004236
12.29253474,12.76703639,1.634064212,1.409005581
12.29206627,12.76721303,1.634058805,1.409006881
12.29160506,12.76738777,1.634053635,1.409008138
12.29115101,12.76756061,1.634048693,1.409009353
12.29070402,12.7677316,1.634043967,1.409010528
12.29026398,12.76790073,1.634039449,1.409011664
12.28983079,12.76806803,1.63403513,1.409012762
12.28940435,12.76823352,1.634031,1.409013823
12.28898456,12.76839722,1.634027052,1.409014849
12.28857132,12.76855915,1.634023277,1.409015842
12.28816454,12.76871932,1.634019668,1.409016801
12.28776411,12.76887776,1.634016218,1.409017728
12.28736995,12.76903447,1.634012919,1.409018624
12.28698196,12.76918949,1.634009765,1.409019491
12.28660004,12.76934283,1.63400675,1.409020329
12.28622411,12.7694945,1.634003867,1.409021139
12.28585408,12.76964452,1.634001111,1.409021922
12.28548986,12.76979291,1.633998476,1.409022679
12.28513135,12.76993969,1.633995957,1.409023411
12.28477848,12.77008487,1.633993548,1.409024119
12.28443116,12.77022847,1.633991245,1.409024803
12.2840893,12.77037052,1.633989044,1.409025464
12.28375282,12.77051101,1.633986939,1.409026104
12.28342164,12.77064998,1.633984926,1.409026722
12.28309568,12.77078743,1.633983002,1.409027319
12.28277485,12.77092338,1.633981163,1.409027897
12.28245909,12.77105785,1.633979404,1.409028456
12.28214831,12.77119086,1.633977723,1.409028995
12.28184244,12.77132242,1.633976115,1.409029517
12.2815414,12.77145254,1.633974578,1.409030022
12.28124511,12.77158124,1.633973109,1.40903051
12.28095351,12.77170854,1.633971704,1.409030982
12.28066651,12.77183445,1.633970361,1.409031438
12.28038406,12.77195898,1.633969077,1.409031879
12.28010608,12.77208215,1.633967849,1.409032305
12.2798325,12.77220398,1.633966675,1.409032717
12.27956325,12.77232448,1.633965553,1.409033115
12.27929827,12.77244366,1.63396448,1.4090335
12.27903749,12.77256153,1.633963454,1.409033872
12.27878084,12.77267812,1.633962474,1.409034232
12.27852826,12.77279343,1.633961536,1.40903458
12.27827969,12.77290749,1.63396064,1.409034917
12.27803506,12.77302029,1.633959782,1.409035242
12.27779432,12.77313186,1.633958963,1.409035556
12.2775574,12.77324221,1.63395818,1.40903586
12.27732424,12.77335135,1.633957431,1.409036154
12.27709478,12.7734593,1.633956715,1.409036438
12.27686897,12.77356606,1.63395603,1.409036713
12.27664676,12.77367165,1.633955376,1.409036979
12.27642807,12.77377609,1.63395475,1.409037235
12.27621286,12.77387938,1.633954152,1.409037483
12.27600107,12.77398155,1.63395358,1.409037723
12.27579266,12.77408259,1.633953033,1.409037955
12.27558756,12.77418252,1.63395251,1.409038179
12.27538572,12.77428136,1.63395201,1.409038396
12.2751871,12.77437912,1.633951532,1.409038606
12.27499164,12.7744758,1.633951075,1.409038808
12.2747993,12.77457142,1.633950638,1.409039004
12.27461001,12.774666,1.633950221,1.409039194
12.27442375,12.77475953,1.633949821,1.409039377
12.27424045,12.77485204,1.63394944,1.409039554
12.27406007,12.77494354,1.633949075,1.409039725
12.27388257,12.77503403,1.633948726,1.40903989
12.2737079,12.77512352,1.633948392,1.40904005
